model,accuracy,roc_auc,pr_auc,precision,recall,prec_top_10,recall_top_10,prec_top_20,recall_top_20,threshold_used,precision_opt,recall_opt,thr_high_recall,prec_high_recall,rec_high_recall
logistic_regression,0.6182352941176471,0.629993446741119,0.3094629325642146,0.2597968069666183,0.5628930817610063,0.3941176470588235,0.21069182389937108,0.3205882352941177,0.34276729559748426,0.51,0.2597968069666183,0.5628930817610063,,,
random_forest,0.7082352941176471,0.626782804976836,0.27917461682542577,0.30735930735930733,0.44654088050314467,0.3058823529411765,0.16352201257861634,0.31176470588235294,0.3333333333333333,0.2,0.30735930735930733,0.44654088050314467,,,
xgboost,0.67,0.6238884489710473,0.272081789066518,0.2841918294849023,0.5031446540880503,0.3235294117647059,0.17295597484276728,0.3176470588235294,0.33962264150943394,0.18000000000000002,0.2841918294849023,0.5031446540880503,0.01,0.18705882352941178,1.0
