hospital,mae,mape,run_id
MHN Boston General,0.2857142857142857,0.21428571428571427,01990db270c045d4a20e74b5e6ace137
MHN Cambridge,0.5714285714285714,0.5,0e3ab02325484e9fad8458953150f8c1
MHN Dorchester,1.0,0.6666666666666666,caef1818dd4a4174b762ae3342eda4c9
MHN Fenway,0.42857142857142855,0.21428571428571427,589635a0245c46038882439e4bc44f0a
MHN Jamaica Plain,0.42857142857142855,0.2857142857142857,76ac43501f364059886f6b677adb20c8
MHN Quincy,0.0,0.0,650efd1fe9a8419cbed41a0a822322aa
MHN Roxbury Community,0.14285714285714285,0.14285714285714285,ca5f604432e0411e9ccd83cfc5d0e981
MHN South Shore,0.7142857142857143,0.4523809523809524,ad4bc26f518542fab1586a556a0beb2f
