hospital,naive_mae,naive_rmse,naive_mape,ets_mae,ets_rmse,ets_mape,run_id
MHN Boston General,0.2857142857142857,0.5345224838248488,0.21428571428571427,0.27828300806277134,0.3313255861343673,0.22773241306708783,71fd18322fea479bb4c74b2c2261a6bd
MHN Cambridge,0.5714285714285714,0.9258200997725514,0.5,0.295205011543103,0.3693878581831201,0.23592922693573243,bbe79242abb7493d87f52dcfda364429
MHN Dorchester,1.0,1.1338934190276817,0.6666666666666666,0.5905354942738571,0.7920974599407071,0.31502061104593565,1f9d9726c2e84e31b9127b4fe71384b5
MHN Fenway,0.42857142857142855,0.6546536707079771,0.21428571428571427,0.4876565352992007,0.5769096878939155,0.30729972013682577,8a6922638b3a4600808a451fee405ff2
MHN Jamaica Plain,0.42857142857142855,0.6546536707079771,0.2857142857142857,0.35674401576047615,0.456947234842156,0.24182151429944448,54cec26688ff43b8858e70d1678b19c7
MHN Quincy,0.0,0.0,0.0,0.3142367836781666,0.36985654578870797,0.2583116004061846,1e18453f20264f87aa7c785590cede25
MHN Roxbury Community,0.14285714285714285,0.3779644730092272,0.14285714285714285,0.24226294336406412,0.24929513688706853,0.24226294336406412,f666d5a009d34827b2ffc0404ca71582
MHN South Shore,0.7142857142857143,1.1338934190276817,0.4523809523809524,0.4981731160266185,0.7700164105087209,0.2651516341064552,4c257a1876ae4585aea2edc7b97e2035
